date,total,name,type,county,residents,staff,attendee
2021-04-06,6,Masala Co-Operative,Other,Boulder,6,0,0
2021-04-05,2,The Peaks Care Center (020391): March 2021	,Healthcare - Skilled Nursing,Boulder,0,2,0
2021-03-30,5,Green Tree Medicinals,Retailer,Boulder,0,5,0
2021-03-29,3,Hearing HealthCare Centers,Healthcare - Outpatient,Boulder,0,3,0
2021-03-29,2,PowerBack Rehabilitation Lafayette (02U713): March 2021,Healthcare - Rehab Facility,Boulder,2,0,0
2021-03-26,3,Nitro Club,Nightclub,Boulder,0,3,0
2021-03-26,2,Boulder Hockey Club 16AA,Youth Sports/Activities,Boulder,0,0,2
2021-03-24,3,International Crossroads,Other,Boulder,0,3,0
2021-03-23,3,St Julien Hotel & Spa,Hotel/Lodge/Resort,Boulder,0,3,0
2021-03-23,3,Heritage Title Company- Boulder,Office/Indoor Workspace,Boulder,0,3,0
2021-03-19,4,Boulder High School: March 2021,School K-12,Boulder,0,0,4
2021-03-19,8,Arapahoe Roofing,Construction Company/Contractor,Boulder,0,8,0
2021-03-18,18,Adolescent gathering - Boulder,Social Gathering,Boulder,0,0,18
2021-03-18,2,RoughRiders 15 (Boys): March 2021,Youth Sports/Activities,Boulder,0,0,2
2021-03-17,5,Pollard Jeep of Boulder,Other,Boulder,0,5,0
2021-03-15,4,Rosalee's Pizzeria,Restaurant - Sit Down,Boulder,0,4,0
2021-03-15,6,The Roost,Restaurant - Sit Down,Boulder,0,6,0
2021-03-12,6,Sports Stable: Adult Lunch League Hockey,Adult Sports Club/Team,Boulder,0,0,6
2021-03-11,18,Shining Mountain Waldorf School,School K-12,Boulder,0,4,14
2021-03-11,4,YMCA Youth Hockey Private club team,Youth Sports/Activities,Boulder,0,0,4
2021-03-09,2,Flatirons Volleyball Club - 15U,Youth Sports/Activities,Boulder,0,0,2
2021-03-08,3,Centaurus High School ,School K-12,Boulder,0,0,3
2021-03-08,7,Flatirons Volleyball Club - 16U,Youth Sports/Activities,Boulder,0,1,6
2021-02-26,18,Dark Horse,Bar/Tavern/Brewery,Boulder,0,18,0
2021-02-23,4,Life Care Center of Longmont (020316): February 2021,Healthcare - Skilled Nursing,Boulder,2,2,0
2020-12-22,2,Niles Family Dentistry,Healthcare - Outpatient,Boulder,0,2,0
2020-12-21,68,Boulder County Jail: December 2020,Jail,Boulder,54,14,0
2020-12-07,21,Silver Creek High School,School K-12,Boulder,0,5,16
2020-12-01,25,Whole Foods Market - Pearl Street,Grocery Store,Boulder,0,25,0
2020-09-23,3456,University of Colorado Boulder Community Outbreak,College/University,Boulder,0,238,3218
